final_asset,ruined
13004598.301914105,0
7422026.768165438,0
16800216.516025852,0
48158875.0741845,0
42997936.46340759,0
27207274.244744577,0
30006108.10335271,0
69157940.39139736,0
19636492.45311943,0
38684890.74969518,0
8013954.823185088,0
17681097.188265495,0
13453233.991329463,0
4030825.5506448247,0
6192969.276075431,0
33400359.716950286,0
53308201.94098915,0
122761176.57860284,0
10909222.096425978,0
26058264.903386604,0
12909918.271617025,0
2841256.405140595,0
16943008.58254785,0
11917724.012947468,0
-1468064.555041979,1
140283333.11677054,0
28950221.876064166,0
18235714.250935648,0
-5819002.9856548775,1
6996319.783383694,0
44955931.11118151,0
8306057.339251632,0
54418148.388366655,0
25235248.682802718,0
19236736.815949608,0
44816754.27976957,0
11432364.080858914,0
27459597.534849904,0
4953136.945889606,0
-6901048.623251324,1
45705148.07825179,0
8409291.377634026,0
30118746.461920705,0
44605284.82541668,0
75281051.78898656,0
8796371.02639016,0
13212905.413000442,0
5562568.477637598,0
39060567.01283767,0
-2604824.516398534,1
32698521.106531456,0
53337748.157973796,0
52612454.60446136,0
4127028.9933356987,0
4206279.212243068,0
11037053.957713768,0
13370212.486578928,0
-4376931.049812066,1
9361269.25139358,0
-6272759.564430035,1
-5407826.12806305,1
29135319.071237147,0
22333484.384211387,0
10853590.457560781,0
100348899.82345404,0
-135081.06356630469,1
-893401.359434064,1
27184291.417213056,0
33165117.959673095,0
-8317762.39581957,1
4985685.31598973,0
35078603.71995258,0
14389687.25867899,0
5805890.919619187,0
35589919.23877381,0
21633145.1067954,0
-3321116.851964417,1
-4850746.547872463,1
7212137.354631099,0
41603930.36010634,0
37064369.82611467,0
21720312.167684786,0
4924862.928761826,0
35568951.995397836,0
119863252.76081397,0
634560.0633093171,0
-2980646.645791466,1
31537897.267142884,0
14954734.363017006,0
-2420749.799461426,1
-450833.6697436621,1
1788643.752984378,0
19906586.780684754,0
12259101.505163232,0
32648445.86257525,0
13196717.336253775,0
16778046.278294902,0
-1453590.3483249128,1
25704764.86617471,0
44853627.068054065,0
6592226.841473916,0
31174846.472836893,0
37579191.534389615,0
30950481.84868027,0
14291657.92552605,0
35687309.8875009,0
12855014.600890381,0
13600979.042021368,0
2647600.2536411826,0
17750101.044026952,0
13956610.029248778,0
16442868.667683186,0
28404257.805881135,0
-3610984.291342642,1
7240186.351493355,0
29936407.329194836,0
15564596.981715329,0
1124027.7628908544,0
18233573.069799423,0
12125791.329175714,0
102426008.5526213,0
42687416.80078724,0
34562642.629732184,0
8759873.43542715,0
9544485.414143393,0
7487706.517245471,0
-3994087.5202604737,1
13999440.161992654,0
-7675084.357059763,1
19360351.27182725,0
35538805.26822797,0
14494901.540652959,0
9650961.600659898,0
21336388.067699052,0
9775958.555064222,0
30838802.308665942,0
27305142.25111133,0
15605233.625227766,0
6906035.1375384405,0
10209812.074941967,0
13412991.064070534,0
12799976.213541793,0
20373317.302563723,0
10291161.185391877,0
17846010.881963648,0
35157382.05920618,0
830291.2591624762,0
-650652.5897681495,1
9588647.653613482,0
6002463.383963409,0
4863775.394588145,0
51409.838379515655,0
12948273.62492567,0
28307928.785423126,0
15755926.27577108,0
-4267868.565454294,1
1035128.7737028174,0
78773449.7356069,0
3246195.392139878,0
-5384615.869799706,1
22142751.657356992,0
23963639.726302046,0
33676841.177127,0
30747873.796770193,0
49262105.71439929,0
7190278.100260548,0
-3840192.1823480725,1
33610326.65314995,0
5506379.61974994,0
16391064.043644885,0
-2983641.826608185,1
10622758.334241,0
14538014.847634792,0
32629085.329023525,0
20901523.868238095,0
-13847574.345960803,1
14021927.052638354,0
121559002.23266307,0
6694042.61941449,0
27600486.213345274,0
11420953.646160414,0
22102410.886313155,0
-2743612.4694751212,1
1397667.4907737037,0
26131591.761278335,0
14047940.29540136,0
72137202.929445,0
7004737.160468227,0
20581298.033395868,0
86471678.45072591,0
10855717.750297021,0
27716546.05004523,0
2791529.398138477,0
36226064.49373826,0
26629031.671459004,0
14573114.768896135,0
46999842.87518116,0
-5315990.705414043,1
16850582.464145888,0
-603250.9236430068,1
6841145.281911801,0
12390149.764559818,0
19536414.18190844,0
8709972.776846228,0
25975552.461235024,0
45612543.19385804,0
8838610.864850964,0
8660041.122587983,0
7363440.33248171,0
1119350.1377195956,0
78914578.13774496,0
17453451.270321317,0
